Number of charging points,Max power KW,Date of usage,Bank Card payment,Other mode of payment,Parking 2 wheels,EF type plug,Type 2 Plug,CCS Combo type socket,Chademo plug,Plug type Other,Type 3 plug,Charging Point Status,Type of implantation,Postal Code,Georaphic Coordinate
"7,00","7,00",2021-09-21,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75110,"48.8824, 2.3866"
"7,00","7,00",2021-09-29,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75115,"48.8492, 2.4133"
"6,00","7,00",2021-11-16,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75117,"48.843006, 2.3280363"
"6,00","7,00",2022-07-13,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75116,"48.8415, 2.338973"
"6,00","7,00",2021-10-06,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75115,"48.845257, 2.3548336"
"6,00","7,00",2021-12-14,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75116,"48.85582, 2.3152447"
"6,00","7,00",,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En test,Voirie,75116,"48.87593, 2.314194"
"6,00","7,00",,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En test,Voirie,75115,"48.87593, 2.314194"
"5,00","7,00",2021-10-26,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75117,"48.8706, 2.3226488"
"4,00","7,00",2021-10-19,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75108,"48.877834, 2.310832"
"6,00","7,00",2021-10-26,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75118,"48.876186, 2.3082976"
"5,00","7,00",,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En test,Voirie,75109,"48.86972, 2.326691"
"6,00","7,00",2022-08-19,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75118,"48.875465, 2.342083"
"6,00","7,00",2021-12-14,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75118,"48.875076, 2.352321"
"6,00","7,00",2021-12-14,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75120,"48.875076, 2.352321"
"4,00","7,00",2021-11-16,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75101,"48.85189, 2.376434"
"5,00","7,00",2021-11-23,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75108,"48.849968, 2.387246"
"6,00","7,00",2021-10-12,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75108,"48.83519, 2.4002905"
"5,00","7,00",2021-11-23,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75109,"48.864063, 2.3713984"
"6,00","7,00",,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En test,Voirie,75107,"48.837315, 2.4022446"
"6,00","7,00",2021-10-12,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75108,"48.84036, 2.378739"
"5,00","7,00",2021-10-19,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75110,"48.82668, 2.3237355"
"5,00","7,00",2021-11-16,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75112,"48.865818, 2.2762194"
"6,00","7,00",2021-10-19,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75113,"48.847847, 2.272306"
"6,00","3,00",2021-10-19,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75114,"48.847847, 2.272306"
"6,00","7,00",2021-11-23,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75114,"48.88003, 2.2995074"
"6,00","7,00",2021-12-14,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75113,"48.88508, 2.3375535"
"6,00","7,00",2021-11-23,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75113,"48.87683, 2.2928"
"7,00","7,00",2021-11-16,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75115,"48.89166, 2.3775942"
"6,00","7,00",2021-11-23,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75103,"48.899334, 2.371162"
"7,00","7,00",2021-11-16,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75115,"48.8766, 2.3790176"
"6,00","7,00",2021-11-03,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75115,"48.85844, 2.402911"
"6,00","7,00",2021-12-08,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75115,"48.87484, 2.36289"
"6,00","50,00",2022-05-17,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,En service,Voirie,75116,"48.856796, 2.3538697"
"4,00","50,00",2022-05-17,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,En service,Voirie,75117,"48.856796, 2.3538697"
"6,00","50,00",2022-05-17,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,En service,Voirie,75118,"48.856796, 2.3538697"
"6,00","22,00",2022-06-15,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,En service,Voirie,75119,"48.854057, 2.34556"
"6,00","4,00",2021-03-15,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75120,"48.85023, 2.3615763"
"6,00","22,00",2021-03-15,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,En service,Voirie,75106,"48.852665, 2.31368"
"6,00","4,00",2021-03-15,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75105,"48.834084, 2.405248"
"7,00","22,00",2021-03-15,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,En service,Voirie,75105,"48.841206, 2.3748827"
"6,00","4,00",2021-03-15,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75107,"48.841206, 2.3748827"
"5,00","4,00",2021-03-15,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75108,"48.841198, 2.323891"
"5,00","22,00",2022-03-07,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,En service,Voirie,75108,"48.83571, 2.286912"
"6,00","22,00",2021-10-01,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,En service,Voirie,75108,"48.841286, 2.296744"
"6,00","4,00",2021-03-15,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,En service,Voirie,75108,"48.8636, 2.27153"
"6,00","22,00",2021-03-15,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,En service,Voirie,75108,"48.861015, 2.28308"
"4,00","22,00",2021-03-15,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,En service,Voirie,75109,"48.859184, 2.273944"
"6,00","22,00",2021-03-15,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,En service,Voirie,75109,"48.8778, 2.39182"
"6,00","22,00",2021-03-15,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,En service,Voirie,75110,"48.863766, 2.41177"
